Color;R;G;B
PREM LTHR-TRMD EBONY/TRUFFL;54;69;79
PREM LTHR-TRMD EBONY/TRUFFLE;54;69;79
PREM LTHR-TRMD MED SLATE;112;128;144
PREM LTHR-TRMD ROAST;101;67;33
PREM LTHR-TRMD SANDSTONE;194;178;128
PREMIUM LEATHER BEYOND BLUE;0;0;255
PREMIUM LEATHER CAPPUCCINO;108;78;56
PREMIUM LEATHER EBONY;54;69;79
PREMIUM LEATHER SANDSTONE;194;178;128
PREMIUM LTHR-TRMD EBONY;54;69;79
PREMIUM PLUS SPORT;200;200;200
PRFM GRAY ACTIVEX SEAT MTRL;128;128;128
PRIMARY COLOR EXTERIOR, HUDSON MET -1 (621D);200;200;200
PRISTINE WHITE;255;255;255
PRISTINE WHITE 3C;255;255;255
PRISTINE WHITE MET 3C;255;255;255
PRISTINE WHITE MET TRI-COAT;255;255;255
PRISTINE WHITE METALLIC;255;255;255
PRISTINE WHITE METALLIC 3C;255;255;255
PRO-4X;200;200;200
PROVENCE;204;153;204
PTS;200;200;200
PTS - Gold Metallic;212;175;55
PTS Azzuro Thetys;0;0;255
PTS Birch Green;0;128;0
PTS Black;0;0;0
PTS Gemini Metallic;200;200;200
PTS Gold Metallic;212;175;55
PTS Grey Black;64;64;64
PTS Grigio Telesto;128;128;128
PTS Kristallgrunmetallic;0;128;0
PTS Mexico Blue;0;0;255
PTS Oryx Wiess Metallic;255;255;255
PTS SIGNAL YELL;255;255;0
PTS Tahoe Blue;0;0;255
PURE WHITE;255;255;255
PURE_WHITE;255;255;255
PURPLE;128;0;128
PW7;200;200;200
PW7 BRIGHT WHITE CLEAR COAT;255;255;255
PWT/PEWTER;192;192;192
PYRITE SILVER;192;192;192
Pacific  Blue;0;0;255
Pacific Blue;0;0;255
Pacific Blue Clearcoat;0;0;255
Pacific Blue Metallic;0;0;255
Pacific Blue Pearl;0;0;255
Pacific Blue Pearl Mica;0;0;255
Pacific Pewter Metal;169;169;169
Pacific Pewter Metallic;169;169;169
Pacific Sky;135;206;235
Pacific Sunset;250;128;114
Pacific Sunset Metallic;250;128;114
Pacifica Blue Pearl;0;0;255
Paint to Sample;200;200;200
Paint to Sample - Irish Green;0;128;0
Paint to Sample - Meissen Blue;0;0;255
Paint to Sample - Speed Yellow;255;255;0
Paint to Sample GULF BLUE;0;0;255
Paint to Sample Green;0;128;0
Paint to Sample Mexico Blue;0;0;255
Paint to Sample Suzuka Grey Metallic;128;128;128
Paint to Sample: Polar Silver;192;192;192
Paint to Sample: Slate Gray;112;128;144
Palatial Ruby;155;17;30
Palazzo Gray;128;128;128
Palazzo Grey;128;128;128
Palladium Metallic;169;169;169
Palladium Metallic (sl);169;169;169
Palladium Silver;192;192;192
Palladium Silver Metallic;192;192;192
Palladium Silver/Black/Black;64;64;64
Palladium White Gold Metallic;255;215;0
Palomino;210;180;140
Palomino Brown;150;75;0
Palomino Brown / Steel Gray;150;75;0
Palomino Nuluxe Open;210;180;140
Palomino Semi-Aniline Lea;210;180;140
Palomino W/Matte Walnut Open P;139;69;19
Palomino w/Film Trim;139;69;19
Palomino w/Matte Walnut Open Pore;139;69;19
Palomino w/Wood Brown Trim;139;69;19
Palomino/Wood Brown;139;69;19
Pamplona Red;255;0;0
Pando Gray;128;128;128
Pando Gray w/Rock Gray Cross Stitch;128;128;128
Pangea Green;0;128;0
Pangea Green Metallic;0;128;0
Pangea Green Metallic - 1DJ;0;128;0
Pantera Metal;200;200;200
Panther Black;0;0;0
Panther Black Crystal Effect;0;0;0
Panther Black Crystal Effect/Black Roof;0;0;0
Panther Black Metallic Tintcoat;0;0;0
Panther Black/Panther Black;0;0;0
Panthera Metal;200;200;200
Papaya Met;255;165;0
Papaya Metallic;255;165;0
Papillon Silver Heliochrome;192;192;192
Par;200;200;200
Parabolica Blue;0;0;255
Paradise Blue Metallic;0;0;255
Parch Perf Prem Milano Lt;200;200;200
Parchment;222;205;187
Parchment - PA;222;205;187
Parchment Beige;245;245;220
Parchment Beige Leather;245;245;220
Parchment Beige/Steel Gray Stitching;245;245;220
Parchment Leatherette;222;205;187
Parchment MB-Tex;222;205;187
Parchment Perforated;222;205;187
Parchment Prem Perforated;222;205;187
Parchment W/Gray Sapele Wood And Aluminum Trim (la;222;205;187
Parchment W/Matte Bamboo Trim;222;205;187
Parchment W/Walnut;222;205;187
Parchment With Jet Black Accents;0;0;0
Parchment With Jet Black Accents, Leather Seating Surfaces With;0;0;0
Parchment leather;222;205;187
Parchment leather with Matte Bamboo trim;222;205;187
Parchment w/Birds Eye;222;205;187
Parchment w/Jet Black Accents;0;0;0
Parchment w/Matte Bamboo Trim;222;205;187
Parchment w/Navy Carpet;25;25;112
Parchment w/Walnut;222;205;187
Parchment with Jet Black accents;0;0;0
Parchment with Jet Black accents, Leather seating;0;0;0
Parchment with Jet Black accents, Leather seating surfaces with;0;0;0
Parchment/jet Black;0;0;0
Parisian Gray;128;128;128
Parisian Night Pearl;220;220;220
Pas;200;200;200
Passion Berry Pearl;219;112;147
Passion Fruit;255;102;102
Passion Fruit Metallic;255;102;102
Passion Red;255;0;0
Passion Red Metallic;255;0;0
Passion Red Pearl Coat;255;0;0
Passion Red Tintcoat;255;0;0
Passion Red Tintcoat - ADR;255;0;0
Passion Red Tricoat;255;0;0
Pastel Beige;245;245;220
Pastel Pebble Beige;245;245;220
Pastel Silver;192;192;192
Pastel Slate Gray;112;128;144
Pastel Slate Gray - DA;112;128;144
Pastell Silver / Rock Gray;192;192;192
Patagonia Red Metallic;255;0;0
Patagonia/Macchiat;200;200;200
Patriot Blue PC/Bright Silver Metallic Clearcoat;0;0;255
Patriot Blue Pearl;0;0;255
Patriot Blue Pearl Coat;0;0;255
Patriot Blue Pearlcoat;0;0;255
Pavement;105;105;105
Pd;200;200;200
Pe;200;200;200
Peacock Metallic;0;128;128
Pear;234;214;174
Pearl;234;214;174
Pearl Beige;234;214;174
Pearl Beige Metallic;234;214;174
Pearl Beige W Seating Surfaces;234;214;174
Pearl Beige w/ Agate Gray Stitching;234;214;174
Pearl Beige w/Agate Gray;234;214;174
Pearl Beige w/Agate Gray Contrast Stitching;234;214;174
Pearl Black;0;0;0
Pearl Blue;0;0;255
Pearl Metallic;192;192;192
Pearl Red;255;0;0
Pearl White;255;255;255
Pearl White Metallic;255;255;255
Pearl White Multi;255;255;255
Pearl White Multi-;255;255;255
Pearl White Multi-Co;255;255;255
Pearl White Multi-Coat;255;255;255
Pearl White Multi-Coat - White;255;255;255
Pearl White Pearlcoat;255;255;255
Pearl White Tri-Coat;255;255;255
Pearl White Tricoat;255;255;255
Pearl White Tricoat - QAB;255;255;255
Pearl White Tricoat/Super Black;255;255;255
Pearl white;255;255;255
Pearl/Black;128;128;128
Pearlcoat;234;214;174
Pebble;205;197;191
Pebble Beach;205;197;191
Pebble Beige;205;197;191
Pebble Beige/Dark Accents;205;197;191
Pebble Beige/Dark accents;205;197;191
Pebble Gray;128;128;128
Pebble Gray Metallic;128;128;128
Pebble Gray Seats With Ebony Interior Whisper Beig;54;69;79
Pebble Gray seats with Ebony interior and Whisper;54;69;79
Pebble Gray seats with Ebony interior and Whisper Beige stitchin;54;69;79
Pebble Gray w/Ebony & Whisper Beige Stitching;54;69;79
Pebble Grey Metallic;128;128;128
Pebble Leather;160;82;45
Pebble/Light Parchment;222;205;187
Pecan Brown;150;75;0
Peminto;200;200;200
Pepper / Gray;128;128;128
Pepper Beige/Black;128;0;0
Pepper Gray;128;128;128
Pepper Gray Metallic;128;128;128
Pepper Grey Metallic;128;128;128
Pepper Red;255;0;0
Pepper White;255;255;255
Pepper White 850;255;255;255
Peppercorn;128;128;128
Pepperdust Metallic;169;169;169
Perfect Blue Metallic;0;0;255
Perforated Nappa Leather Upholst;200;200;200
Perforated Premium Milano Leathe;200;200;200
Performance Blue;0;0;255
Performance Blue Metallic;0;0;255
Performance Gray;128;128;128
Performance Gray With Metallic Stitching;128;128;128
Performance Red;255;0;0
Performance Red Pearl;255;0;0
Performance White;255;255;255
Performance White Clearcoat;255;255;255
Peridot Metallic;102;205;170
Perlino;240;230;140
Perlino Perf Windsor Lthr;240;230;140
Perlino/ Perlino;240;230;140
Perlino/Perlino;240;230;140
Perlino/Perlino Perforate;240;230;140
Persian Ivory;238;232;213
Petrol;0;128;128
Petrolix Blue;0;0;255
Pewter;192;192;192
Pewter Gray Metallic;192;192;192
Pewter Metallic;192;192;192
Pewter Silver;192;192;192
Pewter Silver Metallic;192;192;192
Pewter Vinyl;192;192;192
Pewter Vk;192;192;192
Phantom;200;200;200
Phantom Black;0;0;0
Phantom Black Metallic;0;0;0
Phantom Black Pearl;0;0;0
Phantom Black Pearl Effect;0;0;0
Phantom Black Pearl Effect / Black Roof;0;0;0
Phantom Black Pearl Effect/Black Roof;0;0;0
Phantom Black Pearl Effect/Lava Gray;0;0;0
Phantom Black Pearl Effect/Red Roof;0;0;0
Phantom Black Tri Coat Pearl;0;0;0
Phantom Black Tri-Coat Pearl;0;0;0
Phantom Blue Mica;0;0;255
Phantom Gray;128;128;128
Phantom Gray Metallic;128;128;128
Phantom Gray Metallic (g7q);128;128;128
Phantom Gray Pearl;128;128;128
Phantom Violet Pearl;138;43;226
Phoenix Orange;255;69;0
Phoenix Orange Metallic;255;69;0
Phytonic Blue Metallic;0;0;255
Piano Black;0;0;0
Piemont Red;255;0;0
Pikes Peak White Pearl;255;255;255
Pikes Peak White Pearl Clearcoat;255;255;255
Pikes peak white pearl;255;255;255
Pimento;255;99;71
Pimento / Ebony;54;69;79
Pimento/Eb/Eb/Pim/Cirrus;54;69;79
Pimento/Eb/Eb/Pim/Ebony;54;69;79
Pimento/Ebony;54;69;79
Pimento/Ebony/Ebony/Pimento/Cirrus;54;69;79
Pimento/Ebony/Ebony/Pimento/Ebony;54;69;79
Pimento/Ebony/Pimento/Cir;54;69;79
Pimento/Ebony/Pimento/Cirrus;54;69;79
Pimento/Ebony/Pimento/Ebony;54;69;79
Pine;34;139;34
Pine Gray;128;128;128
Pine Gray Metallic;128;128;128
Pine Green;34;139;34
Pine Grey Metallic;128;128;128
Pink;255;192;203
Pink & Black;255;192;203
Pink and White;255;182;193
Pink and black;255;192;203
Pistachio Beige;190;173;145
Pitch Black;0;0;0
Pitch Black Clear Coat;0;0;0
Pitch Black Clearcoat;0;0;0
Pitch Black Clearcoat - PX8;0;0;0
Plad;200;200;200
Plaid;200;200;200
Plaid Yellow;255;255;0
Plasma Blue Metallic;0;0;255
Plasma Blue Pearl;0;0;255
Plasma Green;0;128;0
Plasma Green Pearl;0;128;0
Plasma Yellow Pearl;255;255;0
Plasma Yellow Pearl Pyp;255;255;0
Plat Ebony Ltr Bkt Seats;54;69;79
Platimum Gray;128;128;128
Platinum;192;192;192
Platinum Black;0;0;0
Platinum Bronze Metallic;205;127;50
Platinum Dune;210;180;140
Platinum Dune Metallic;210;180;140
Platinum Dune Metallic Tri-Coat;210;180;140
Platinum Dune Tri-Coat;210;180;140
Platinum Frost Metallic;176;224;230
Platinum Graphite;112;128;144
Platinum Graphite Gray;112;128;144
Platinum Graphite Metallic;112;128;144
Platinum Graphite Pearl Metallic;112;128;144
Platinum Gray;128;128;128
Platinum Gray Meta;128;128;128
Platinum Gray Metallic;128;128;128
Platinum Gray Metallic / Black Roof;128;128;128
Platinum Gray Metallic w/ Black Roof;128;128;128
Platinum Gray Metallic/Black Roof;128;128;128
Platinum Grey;128;128;128
Platinum Grey Metallic;128;128;128
Platinum Ice Tri-Coat;224;255;255
Platinum Ice Tricoat;224;255;255
Platinum Metallic;169;169;169
Platinum Quartz;230;230;250
Platinum Quartz Metallic;230;230;250
Platinum Quartz Metallic 47s;230;230;250
Platinum Silver;192;192;192
Platinum Silver Metallic;192;192;192
Platinum White;255;255;255
Platinum White Metallic;255;255;255
Platinum White Pea;255;255;255
Platinum White Pearl;255;255;255
Platinum White Pearl (wx);255;255;255
Platinum White Pearl - WH;255;255;255
Platinum White Pearl/Black;255;255;255
Platinum White/Black;255;255;255
Platinum/Black;0;0;0
Playa;200;200;200
Plum Crazy Pearlcoat;221;160;221
Pluton Blue;0;0;255
Pluton Blue/Black Roof;0;0;0
Po Package;200;200;200
Polar;173;216;230
Polar Beige;245;245;220
Polar Beige Gravity;245;245;220
Polar Blue;0;0;255
Polar Silver;192;192;192
Polar Silver Metallic;192;192;192
Polar White;255;255;255
Polar White - 149;255;255;255
Polar White - White;255;255;255
Polished Metal Met;169;169;169
Polished Metal Metallic;169;169;169
Polished Slate;112;128;144
Polo Green;0;128;0
Polo Green Metallic;0;128;0
Polymetal Gray;128;128;128
Polymetal Gray Me;128;128;128
Polymetal Gray Metallic;128;128;128
Polymetal Gray Mica;128;128;128
Pomegranate Pearl;220;20;60
Pomegranate Red;220;20;60
Pomegranate Red Metallic;220;20;60
Pomelo Yellow;255;255;0
Pomelo Yellow Metallic;255;255;0
Porcelain;245;245;245
Porcelain & Espresso Brown;112;66;20
Porcelain / Black;128;128;128
Porcelain Leather;245;245;245
Porcelain White Pearl;255;255;255
Porcelain/Black;128;128;128
Porcelain/Black Nappa  premium leather;128;128;128
Porcelain/Espresso Brown;112;66;20
Porsche Racing Green Metallic;0;128;0
Porsche Racing Yellow;255;255;0
Portimao Blue Metallic;0;0;255
Portland Brown;101;67;33
Portofino Blue;0;0;255
Portofino Blue Metallic;0;0;255
Portofino Blue Metallic - 1DG;0;0;255
Portofino Gray;128;128;128
Portofino Gray Metallic;128;128;128
Portofino Red;255;0;0
Powder White Pearl;255;255;255
Power Blue Metallic;0;0;255
Power Red/Black;139;0;0
Power Red/Black Leather;139;0;0
Power White Pearl;255;255;255
Prairie Pearlcoat;234;214;174
PreDawn Gray;105;105;105
Precision Certified;200;200;200
Precision Red;255;0;0
Predawn;105;105;105
Predawn Gray;105;105;105
Predawn Gray Mica;105;105;105
Preferred Suede & Trim Bucket Seats;200;200;200
