Color;R;G;B
Prem Lthr-Trmd Eb/Med Sla;54;69;79
Prem Lthr-Trmd Sandstone;194;178;128
Premier Plus;200;200;200
Premium;200;200;200
Premium Bucket Seats;200;200;200
Premium Ebony;54;69;79
Premium Ebony Roast;54;69;79
Premium Electric Silver Metallic;192;192;192
Premium Gray Leather;128;128;128
Premium Leather Enhanced;200;200;200
Premium Lthr-Trmd Ebony;54;69;79
Premium Package;200;200;200
Premium Plus;200;200;200
Premium Sandstone Leather;194;178;128
Premium Seat Trim;200;200;200
Premium Synthetic Seats;200;200;200
Premium White;255;255;255
Premium White Pearl;255;255;255
Prism Silver Crystal Effect;192;192;192
Prism Silver Crystal Effect/Black Roof;192;192;192
Pristine White;255;255;255
Pristine White (az);255;255;255
Pristine White Me;255;255;255
Pristine White Metal;255;255;255
Pristine White Metallic;255;255;255
Pristine White Metallic Tri-Coat;255;255;255
Pristine White Tri-Coat;255;255;255
Pristine White [Whit;255;255;255
Progressive Red;255;0;0
Progressive Red Metallic;255;0;0
Protonic Blue Metallic;0;0;255
Protonic Blue Metallic w/Frozen Gray Accent;0;0;255
Protonic Frozen Black Met;0;0;0
Provence;204;153;204
Prowler Deep Candy Red;255;0;0
Prowler Orange Pearlcoat/Black Soft Top;255;165;0
Prowler Yellow (PY3) w/Custom Pinstripes;255;255;0
Pts;200;200;200
Pueblo Gold Clearcoat Metallic;212;175;55
Pulse;200;200;200
Pulse Orange;255;165;0
Pulse Red;255;0;0
Pulse Red w/Black Roof;255;0;0
Punkn Metallic Clearcoat;169;169;169
Pur;200;200;200
Pure;200;200;200
Pure Beige;245;245;220
Pure Beige - Cricket Leather;245;245;220
Pure Burgundy;128;0;32
Pure Burgundy Metallic;128;0;32
Pure Gray;128;128;128
Pure Gray / Black Roof;128;128;128
Pure Gray w/ Black Roof;128;128;128
Pure Gray w/Black Roof;128;128;128
Pure Gray w/Deep Black Roof;128;128;128
Pure Red;255;0;0
Pure Red/Carbon Black Clth Lth;255;0;0
Pure Red/Carbon Black Parallel Lines Leather/Cloth;255;0;0
Pure Silver Metallic;192;192;192
Pure White;255;255;255
Pure White / Black Roof;255;255;255
Pure White W/Black Roof;255;255;255
Pure White [White];255;255;255
Pure White w/ Black Roof;255;255;255
Pure White w/ Black Top;255;255;255
Pure White w/Black Roof;255;255;255
Pure White/Black Roof;255;255;255
Purple;128;0;128
Purple Haze Metallic;138;43;226
Purple Metallic;138;43;226
Purple Metallic Cloth;138;43;226
Purple and Tan;160;82;45
Purpurite Metallic;123;104;238
Pyrite Mica;192;192;192
Pyrite Silver;192;192;192
Pyrite Silver Metallic;192;192;192
Python Green;0;128;0
Python Yellow Metallic;255;255;0
Q BALL;200;200;200
Q Ball;200;200;200
Qc Interio;200;200;200
Quantam Blue Satin;0;0;255
Quantum Gray;128;128;128
Quantum Gray Metallic/Black Roof;128;128;128
Quantum Gray/Black Roof;128;128;128
Quartz;210;180;140
Quartz Blue;0;0;255
Quartz Blue Metallic;0;0;255
Quartz Blue Pearl;0;0;255
Quartz Brown Metallic;150;75;0
Quartz Gray;128;128;128
Quartz Gray Metallic;128;128;128
Quartz Grey Metallic;128;128;128
Quartz Metallic;169;169;169
Quartz Shadow Metallic;169;169;169
Quartz Silver;192;192;192
Quartz Silver Metallic;192;192;192
Quartz White;255;255;255
Quartz White Pearl;255;255;255
Quartz leather;222;205;187
Quartzite Grey Metallic;128;128;128
Quartzite Metallic;169;169;169
Quick Silver Metallic;192;192;192
Quick Silver Pearl;192;192;192
Quicksand;210;180;140
Quicksilver;192;192;192
Quicksilver Metallic;192;192;192
Quicksilver Pearl;192;192;192
